Flight_ID,Flight_Number,Flight_Date,Day_of_Week,Airline,Alliance,Origin,Origin_Country,Destination,Destination_Country,Route,Flight_Distance_KM,Route_Category,Aircraft_Type,Aircraft_Capacity,Aircraft_Age_Years,Passengers,Load_Factor,Flight_Hours,Season,Demand_Level,Competition_Index,Weather_Disruption,On_Time_Performance,Delay_Minutes,Average_Ticket_Price,Ticket_Revenue,Ancillary_Revenue,Cargo_Revenue,Total_Revenue,Fuel_Price_Per_Liter,Fuel_Cost,Maintenance_Cost,Crew_Cost,Depreciation_Cost,Insurance_Cost,Airport_Fees,Catering_Cost,Handling_Cost,Navigation_Fees,Sales_Distribution_Cost,Passenger_Service_Cost,Overhead_Cost,Marketing_Cost,IT_Systems_Cost,Total_Cost,Profit,Profit_Margin,Profitable,Passenger_Satisfaction_Score,Market_Share_Pct
FL000023,BA5107,2024-03-29,Friday,British Airways,OneWorld,LHR,UK,MAN,UK,LHR-MAN,280,Short Haul,Boeing 737-800,189,7.0,125,0.6662,1.1,Normal,Medium,8.0,0,74.1,,64.2,8025.41,10263.43,923.85,19212.69,0.7941973849431714,2231.51,725.29,925.73,7554.46,639.75,2069.8,,2585.96,122.43,684.14,1597.21,15965.99,184.88,298.6,36537.74,-17325.05,-90.18,0,7.8,12.7
FL000024,SQ6468,2022-08-04,Thursday,Singapore Airlines,Star Alliance,SIN,Singapore,DXB,UAE,SIN-DXB,5840,Long Haul,Boeing 777-300ER,396,18.0,385,0.9729,7.8,Peak,High,5.0,0,94.1,0.0,1289.81,496575.28,31368.16,,540364.97,0.7950529939094013,57011.63,22304.94,16652.15,49148.53,3902.04,9263.78,21091.24,9897.92,2756.91,45409.71,2110.22,37509.22,14500.17,1002.09,292560.55,247804.42,45.86,1,9.0,17.3
FL000025,DL1806,2023-12-23,Saturday,Delta Air Lines,SkyTeam,ATL,USA,SFO,USA,ATL-SFO,3440,Medium Haul,Boeing 787-9,296,3.0,285,0.9644,4.3,Peak,High,2.0,0,83.4,28.0,551.49,157175.07,7859.8,3556.45,168591.32,0.7842059631184901,24765.45,6032.92,6522.04,30489.95,2676.76,4051.44,8363.13,3491.2,1335.82,14560.87,4076.13,27878.21,4886.67,1867.23,140997.82,27593.5,16.37,1,,32.4
FL000026,QF1954,2022-01-11,Tuesday,Qantas,OneWorld,SYD,Australia,NRT,Japan,SYD-NRT,7820,Long Haul,Airbus A350-900,325,10.0,199,0.6123,9.9,Low,Low,6.0,0,80.5,0.0,389.43,77496.9,16379.3,,164598.04,0.7460251779517036,46970.77,18491.82,18437.85,38850.34,3721.01,10944.61,11063.94,3114.56,4958.98,6772.73,1085.2,38063.71,4216.22,853.14,207544.88,-42946.84,-26.09,0,,25.6
FL000027,LH6343,2024-09-01,Sunday,Lufthansa,Star Alliance,FRA,Germany,NBO,Kenya,FRA-NBO,6400,Long Haul,Airbus A380-800,517,19.0,377,0.7295,8.3,Shoulder,Medium,5.0,0,71.9,32.0,787.02,296706.65,21730.7,29286.79,347724.14,0.7238944525269861,72965.17,34264.89,23808.09,65859.93,5593.02,8858.01,21776.76,8809.5,3730.75,17188.29,6202.15,59655.73,6281.25,2310.66,337304.2,10419.94,3.0,1,7.7,
FL000028,EK4155,2022-01-17,Monday,Emirates,Non-Aligned,DXB,UAE,GRU,Brazil,DXB-GRU,11250,Long Haul,Airbus A330-300,277,7.0,158,0.5734,13.9,Low,Low,3.0,0,,3.0,659.29,104168.49,9773.12,78563.28,192504.89,0.6848155287301297,65145.2,27490.73,23291.12,18499.15,1646.61,7159.86,9728.5,1692.97,5872.79,5336.48,835.44,20573.0,4119.42,924.62,192315.89,189.0,0.1,1,7.9,5.8
FL000029,AA8099,2024-04-28,Sunday,American Airlines,OneWorld,JFK,USA,MIA,USA,JFK-MIA,1760,Medium Haul,Boeing 787-9,296,16.0,235,0.796,3.0,Shoulder,Medium,8.0,0,65.3,0.0,236.27,55523.55,9918.6,18288.87,83731.02,0.7110741722598555,13473.08,6256.43,4500.36,33664.57,2939.71,3714.83,7381.38,4414.23,829.12,3029.27,1644.43,24872.0,2288.36,490.99,109498.76,-25767.74,-30.77,0,,13.5
FL000030,EK1634,2024-10-10,Thursday,Emirates,Non-Aligned,DXB,UAE,MCT,Oman,DXB-MCT,390,Short Haul,Boeing 737-800,189,13.0,144,0.7652,1.3,Shoulder,Medium,,0,64.9,0.0,84.19,12123.97,9716.96,2756.01,24596.94,0.8096177013013219,2936.36,1154.12,1127.81,7267.27,652.29,2048.83,,1505.13,192.9,815.95,2172.31,22792.04,277.6,672.65,44662.22,-20065.28,-81.58,0,,9.4
FL000031,EK8005,2024-02-13,Tuesday,Emirates,Non-Aligned,DXB,UAE,BLR,India,DXB-BLR,2470,Medium Haul,Airbus A330-300,277,18.0,173,0.6279,3.7,Low,Low,9.0,0,55.0,0.0,266.85,46164.71,9833.16,15565.86,71563.73,0.7554136846879574,19364.42,9376.85,6055.76,21143.51,1550.2,5669.25,4789.97,2732.65,1391.26,3393.53,2538.88,31962.33,1724.08,383.77,112076.46,-40512.73,-56.61,0,8.2,5.4
FL000032,CX4216,2024-08-14,Wednesday,Cathay Pacific,OneWorld,HKG,Hong Kong,LHR,UK,HKG-LHR,9640,Long Haul,Boeing 777-300ER,396,20.0,305,0.7719,11.8,Peak,Medium,,0,79.8,0.0,,390442.88,14309.82,54418.58,459171.28,0.5882062607811162,62706.81,35476.93,27390.71,50168.45,3778.67,7193.01,12942.22,7771.44,4405.12,27434.67,3911.36,38586.45,13631.9,1391.74,296789.48,162381.8,35.36,1,,4.6
FL000033,AF7980,2022-01-28,Friday,Air France,SkyTeam,CDG,France,LHR,UK,CDG-LHR,340,Short Haul,Boeing 737-800,189,12.0,117,0.6214,1.3,Low,Low,,1,83.0,49.0,45.0,5265.0,5058.05,3359.38,13682.43,0.7115611095429596,2423.93,1035.3,967.4,8062.78,678.14,1895.4,903.31,1588.09,194.94,388.2,1868.98,20870.37,228.58,741.94,41847.36,-28164.93,-205.85,0,7.9,28.6
FL000034,EK4173,2023-11-22,Wednesday,Emirates,Non-Aligned,DXB,UAE,KWI,Kuwait,DXB-KWI,855,Short Haul,Boeing 737-800,189,15.0,152,0.8053,1.5,Normal,Medium,4.0,0,66.0,6.0,213.89,32511.28,5147.63,3015.21,40674.12,0.7511839628308193,3234.7,1241.61,1228.24,7461.43,623.33,2200.54,1153.15,3516.59,441.81,2918.72,2575.31,17963.64,1873.79,932.4,47365.26,-6691.14,-16.45,0,8.2,5.7
FL000035,LH9212,2022-01-19,Wednesday,Lufthansa,Star Alliance,FRA,Germany,FCO,Italy,FRA-FCO,1080,Short Haul,Airbus A321,220,13.0,137,0.6269,1.9,Low,Low,2.0,0,93.0,16.0,204.16,27969.44,9016.58,1813.84,38799.86,0.7877588109852572,4258.56,1718.52,1497.59,8418.08,704.93,2050.91,,2724.3,685.96,1929.59,2222.6,19564.85,1095.49,291.56,48182.21,-9382.35,-24.18,0,8.6,50.6
FL000036,BA4097,2024-10-11,Friday,British Airways,OneWorld,LHR,UK,BOM,India,LHR-BOM,7200,Long Haul,Boeing 777-300ER,396,11.0,300,0.7598,9.4,Shoulder,Medium,5.0,1,,2.0,677.71,203314.15,18267.95,48260.58,269842.68,,62532.09,23487.17,20565.0,58946.41,4803.27,8305.1,,4720.68,3627.29,18902.28,4619.15,25282.18,6467.65,1790.11,259757.35,10085.33,3.74,1,8.5,18.9
FL000037,BA7764,2022-01-10,Monday,British Airways,OneWorld,LHR,UK,MAD,Spain,LHR-MAD,1260,Short Haul,Boeing 737-800,189,5.0,89,0.4725,2.7,Low,Low,9.0,0,87.6,10.0,153.58,13668.81,6256.64,975.46,20900.91,0.6576385321983683,5113.39,1895.34,2085.31,7688.55,602.47,2740.42,577.28,1153.13,574.05,824.36,1183.12,13091.33,618.93,204.01,38351.69,-17450.78,-83.49,0,8.5,8.1
FL000038,EK7099,2024-01-14,Sunday,Emirates,Non-Aligned,DXB,UAE,LAX,USA,DXB-LAX,13400,Long Haul,Boeing 777-300ER,396,6.0,231,0.5855,16.8,Low,Low,4.0,0,90.7,28.0,933.71,215686.65,17889.79,,291306.45,0.6286718942376419,87660.39,38481.94,29652.88,55722.63,3845.78,10007.09,13237.36,4317.71,6152.57,21111.68,1681.43,40293.15,6047.28,1080.88,319292.77,-27986.32,-9.61,0,7.9,7.2
FL000039,CX7721,2022-12-30,Friday,Cathay Pacific,OneWorld,HKG,Hong Kong,JFK,USA,HKG-JFK,12990,Long Haul,Boeing 787-9,296,8.0,251,0.8511,15.8,Peak,High,5.0,0,83.7,29.0,2678.28,672249.2,6093.8,31961.81,710304.81,0.6843245548456975,73641.99,23010.38,23690.41,29970.26,2889.7,6675.96,10832.93,5550.89,6519.37,50316.63,4492.41,33701.63,19051.83,1669.9,292014.29,418290.52,58.89,1,7.9,13.4
FL000040,BA6448,2024-07-19,Friday,British Airways,OneWorld,LHR,UK,ATL,USA,LHR-ATL,7100,Long Haul,Boeing 787-9,296,2.0,277,0.939,9.1,Peak,High,4.0,0,70.0,1.0,1860.85,515456.27,19440.7,22455.54,557352.51,0.7308203070090792,42579.3,13462.55,11618.04,32386.67,2477.11,8609.31,15317.25,5033.47,2708.45,37100.27,1765.5,29026.34,14763.45,1412.13,218259.84,339092.67,60.84,1,,34.3
FL000041,TK7036,2024-06-01,Saturday,Turkish Airlines,Star Alliance,IST,Turkey,ADD,Ethiopia,IST-ADD,3490,Medium Haul,Airbus A321,220,17.0,204,0.9308,4.8,Peak,High,1.0,1,90.5,0.0,785.61,160264.02,13796.93,19740.41,193801.36,0.7202741418138072,10945.61,4305.23,4912.54,9171.16,586.96,3611.05,5061.82,3470.82,1525.87,14346.34,2563.86,22236.08,4421.33,1039.33,88198.0,105603.36,54.49,1,7.7,53.5
FL000042,TK9599,2022-07-02,Saturday,Turkish Airlines,Star Alliance,IST,Turkey,JFK,USA,IST-JFK,8170,Long Haul,Boeing 787-9,296,18.0,251,0.8508,10.2,Peak,High,4.0,1,89.9,20.0,1405.86,352869.65,19628.54,80290.3,452788.49,0.7698449998603392,50506.52,22859.23,15446.46,32000.73,3252.15,8813.51,13131.44,3119.23,4536.65,28885.94,3406.47,34671.61,16043.85,1272.49,237946.28,214842.21,47.45,1,8.4,4.5
FL000043,EK8128,2024-11-06,Wednesday,Emirates,Non-Aligned,DXB,UAE,CDG,France,DXB-CDG,5250,Long Haul,Airbus A380-800,517,4.0,340,0.6585,6.8,Normal,Medium,,0,70.4,,12.54,200702.12,,,268718.18,0.5155302675216658,41150.09,20833.11,17849.3,66458.0,6079.75,6496.89,17760.4,5276.45,2800.21,16496.75,4043.94,27476.66,11789.15,2037.81,246548.51,22169.67,8.25,1,7.9,14.5
FL000044,BA4300,2023-02-18,Saturday,British Airways,OneWorld,LHR,UK,NRT,Japan,LHR-NRT,9560,Long Haul,Airbus A380-800,517,3.0,345,0.6686,11.6,Low,Medium,3.0,0,95.2,2.0,1035.14,357124.82,21415.0,25880.8,404420.62,0.7934163491285366,101280.91,32670.64,29118.82,64025.93,5179.1,7005.84,20700.47,6381.67,4960.14,30093.09,2137.04,63272.91,14119.2,949.92,381895.68,22524.94,5.57,1,8.5,36.6
FL000045,BA3563,2022-12-28,Wednesday,British Airways,OneWorld,LHR,UK,HKG,Hong Kong,LHR-HKG,9640,Long Haul,Airbus A350-900,325,1.0,292,0.9003,11.9,Peak,High,8.0,0,90.5,0.0,1459.47,426165.54,20080.23,69900.27,516146.04,0.6365958207757036,49499.51,19758.59,22729.66,43441.79,2725.37,9436.27,16193.43,,5281.45,35763.36,4330.78,36773.03,16540.66,1316.99,271302.41,244843.63,47.44,1,8.2,9.8
FL000046,SQ7397,2022-12-02,Friday,Singapore Airlines,Star Alliance,SIN,Singapore,MEL,Australia,SIN-MEL,6300,Long Haul,Boeing 787-9,296,2.0,296,1.0469,8.1,Peak,High,4.0,0,55.0,24.0,746.91,221085.48,9290.55,61030.3,291406.33,0.8287529607533828,40533.69,11319.08,13533.63,29198.23,2851.63,8433.37,15337.26,4265.49,3085.27,19912.8,4429.83,31086.27,7069.81,848.75,191905.11,99501.22,34.15,1,,7.6
FL000047,AA1671,2023-12-11,Monday,American Airlines,OneWorld,JFK,USA,YYZ,Canada,JFK-YYZ,570,Short Haul,Airbus A320,180,,175,0.9766,1.4,Peak,High,3.0,0,84.0,14.0,251.2,43960.05,4399.51,3622.74,51982.3,0.7024549312413937,2844.87,997.15,1157.18,7032.84,579.23,2218.54,1375.59,2945.85,252.39,3928.11,3092.75,14011.3,1633.36,1089.19,43158.35,8823.95,16.97,1,8.8,5.9
FL000048,DL9535,2024-08-01,Thursday,Delta Air Lines,SkyTeam,ATL,USA,DFW,USA,ATL-DFW,1140,Short Haul,Airbus A321,220,,199,0.9048,1.9,Peak,High,8.0,0,90.2,34.0,271.38,54003.88,,2585.93,73153.84,0.6372737875151355,4206.74,1975.53,1599.41,8807.96,709.36,2189.89,1520.43,3550.16,574.22,5022.74,2864.92,12116.53,2609.11,938.82,48685.82,24468.02,33.45,1,6.9,15.5
FL000049,TK9078,2023-07-25,Tuesday,Turkish Airlines,Star Alliance,IST,Turkey,FRA,Germany,IST-FRA,2220,Medium Haul,Airbus A330-300,277,7.0,233,0.8437,3.2,Peak,Medium,3.0,0,76.9,0.0,495.58,115469.98,,8230.33,131198.73,0.7742229488495533,16616.53,6080.28,5316.36,19858.05,1883.06,3900.76,5891.91,3618.76,908.05,10382.74,2291.58,23234.0,4144.82,574.82,104701.72,26497.01,20.2,1,,27.5
FL000050,QF1264,2023-07-08,Saturday,Qantas,OneWorld,SYD,Australia,ICN,South Korea,SYD-ICN,8300,Long Haul,Airbus A350-900,325,3.0,262,0.8065,10.3,Peak,Medium,6.0,0,71.7,,1009.86,264583.41,6315.03,36449.66,307348.1,0.8126964735823045,52373.17,17317.59,18605.14,44107.35,3280.23,8408.14,13628.3,4312.62,4300.96,14848.87,3779.98,24123.4,15844.08,1807.52,226737.35,80610.75,26.23,1,8.1,26.6
FL000051,TK6925,2023-10-08,Sunday,Turkish Airlines,Star Alliance,IST,Turkey,BKK,Thailand,IST-BKK,7790,Long Haul,Boeing 777-300ER,396,12.0,331,0.8374,9.7,Shoulder,Medium,9.0,0,75.4,3.0,801.39,265260.74,12377.22,17869.09,295507.05,0.7093738325708029,65154.86,23099.69,20767.02,54749.87,4301.11,7059.16,19313.03,8141.24,3136.45,23052.08,5124.06,44859.0,8000.0,713.5,287471.07,8035.98,2.72,1,,18.7
FL000052,LH5493,2023-06-17,Saturday,Lufthansa,Star Alliance,FRA,Germany,ATL,USA,FRA-ATL,7700,Long Haul,Airbus A330-300,277,4.0,273,0.9866,9.7,Peak,High,5.0,0,,23.0,1300.49,355035.07,21608.85,59201.26,435845.18,0.673590236954201,47644.53,16461.9,14767.73,17837.74,1254.99,8168.99,16667.55,4476.69,3808.17,30886.35,4623.25,19667.78,19290.36,944.88,206500.91,229344.27,52.62,1,,
FL000053,BA2846,2023-11-07,Tuesday,British Airways,OneWorld,LHR,UK,HKG,Hong Kong,LHR-HKG,9640,Long Haul,Airbus A330-300,277,14.0,185,0.6704,12.3,Normal,Medium,9.0,0,96.1,10.0,783.74,144991.3,,23232.97,182694.06,0.6927138195449152,64743.94,24813.5,20125.42,19568.3,1813.81,6887.18,,,5191.29,13261.53,3038.94,25728.57,5900.83,768.15,204787.4,-22093.34,-12.09,0,8.9,15.4
FL000054,SQ3866,2023-06-24,Saturday,Singapore Airlines,Star Alliance,SIN,Singapore,AKL,New Zealand,SIN-AKL,8600,Long Haul,Boeing 787-9,296,2.0,274,0.9279,11.2,Peak,High,3.0,0,80.5,4.0,1333.2,365296.59,6078.42,,383821.67,0.7329005250845607,52780.26,16803.24,19076.29,32694.48,2311.98,6302.06,11162.13,4247.09,3551.83,26927.63,3474.67,26721.57,19786.45,615.81,226455.49,157366.18,41.0,1,8.1,34.3
FL000055,QF4155,2022-07-02,Saturday,Qantas,OneWorld,SYD,Australia,SIN,Singapore,SYD-SIN,6300,Long Haul,Boeing 777-300ER,396,13.0,378,0.9546,8.3,Peak,High,3.0,0,77.9,0.0,1038.11,392405.12,22792.65,32424.52,447622.29,0.7121505961425915,54550.8,21425.16,16756.42,56732.08,4767.37,7677.76,18937.21,6333.1,3034.0,27840.12,5581.29,21908.93,9106.62,1426.52,256077.38,191544.91,42.79,1,8.5,36.5
